time,ask,bid,ticker
1614020568799000000,317.833,317.627,GS
1614020568849000000,317.833,317.687,GS
1614020569152000000,317.832,317.628,GS
1614020569657000000,317.833,317.687,GS
1614020570308000000,317.873,317.687,GS
1614020570359000000,317.812,317.688,GS
1614020571376000000,317.873,317.687,GS
1614020571427000000,317.79200000000003,317.688,GS
1614020572578000000,317.762,317.688,GS
1614020572628000000,317.763,317.627,GS
1614020572767000000,317.762,317.688,GS
1614020573700000000,317.79200000000003,317.688,GS
1614020575713000000,317.793,317.627,GS
1614020575864000000,317.79200000000003,317.688,GS
1614020576468000000,317.793,317.627,GS
1614020576887000000,317.79200000000003,317.688,GS
1614020577465000000,317.79200000000003,317.628,GS
1614020577594000000,317.79200000000003,317.688,GS
1614020579619000000,317.793,317.627,GS
1614020579858000000,317.79200000000003,317.688,GS
1614020580029000000,317.79200000000003,317.628,GS
1614020580079000000,317.713,317.577,GS
1614020580130000000,317.732,317.578,GS
1614020580199000000,317.713,317.577,GS
1614020580249000000,317.732,317.578,GS
1614020581629000000,317.713,317.577,GS
1614020581738000000,317.712,317.618,GS
1614020581788000000,317.873,317.617,GS
1614020581839000000,317.772,317.618,GS
1614020581887000000,20.902,20.878000000000004,AAL
1614020581937000000,20.893,20.877,AAL
1614020582088000000,20.903,20.887,AAL
1614020582401000000,317.772,317.578,GS
1614020582831000000,317.773,317.517,GS
1614020584681000000,317.773,317.617,GS
1614020584781000000,317.773,317.547,GS
1614020590751000000,20.892,20.878000000000004,AAL
1614020591921000000,20.902,20.888,AAL
1614020593203000000,20.893,20.877,AAL
1614020594561000000,20.903,20.887,AAL
1614020596782000000,317.773,317.65700000000004,GS
1614020596832000000,317.862,317.668,GS
1614020597285000000,317.862,317.548,GS
1614020597336000000,317.873,317.547,GS
1614020597695000000,317.78200000000004,317.548,GS
1614020598163000000,20.892,20.878000000000004,AAL
1614020598737000000,317.682,317.548,GS
1614020598787000000,317.793,317.547,GS
1614020598876000000,317.78200000000004,317.548,GS
1614020601145000000,317.682,317.548,GS
1614020601197000000,317.79200000000003,317.548,GS
1614020601247000000,317.783,317.547,GS
1614020604340000000,317.713,317.547,GS
1614020604779000000,317.793,317.547,GS
1614020604850000000,317.783,317.547,GS
1614020616008000000,317.692,317.568,GS
1614020616058000000,317.78200000000004,317.568,GS
1614020617019000000,317.66200000000003,317.568,GS
1614020617070000000,317.703,317.547,GS
1614020617386000000,317.802,317.548,GS
1614020617436000000,317.773,317.547,GS
1614020617891000000,317.712,317.548,GS
1614020618285000000,317.773,317.547,GS
1614020619626000000,317.713,317.547,GS
1614020620089000000,317.803,317.547,GS
1614020620172000000,317.762,317.548,GS
1614020620808000000,317.712,317.548,GS
1614020620859000000,317.763,317.547,GS
1614020623247000000,317.763,317.587,GS
1614020623298000000,317.763,317.547,GS
1614020623540000000,317.763,317.587,GS
1614020623726000000,317.763,317.547,GS
1614020631559000000,317.713,317.547,GS
1614020636143000000,317.713,317.53700000000003,GS
1614020640065000000,317.702,317.538,GS
1614020646780000000,317.713,317.53700000000003,GS
1614020649869000000,317.702,317.538,GS
1614020651044000000,317.712,317.538,GS
1614020654646000000,317.703,317.53700000000003,GS
1614020655754000000,317.712,317.538,GS
1614020658787000000,317.713,317.517,GS
1614020658838000000,317.713,317.557,GS
1614020660131000000,317.703,317.557,GS
1614020661122000000,317.713,317.607,GS
1614020661374000000,317.712,317.558,GS
1614020661656000000,20.903,20.887,AAL
1614020662832000000,317.702,317.558,GS
1614020665493000000,317.713,317.557,GS
1614020665543000000,317.703,317.557,GS
1614020666157000000,317.712,317.558,GS
1614020668287000000,317.713,317.607,GS
1614020672254000000,317.703,317.607,GS
1614020674235000000,317.712,317.608,GS
1614020677223000000,317.693,317.607,GS
1614020677818000000,317.743,317.607,GS
1614020681032000000,317.692,317.608,GS
1614020688076000000,20.903,20.877,AAL
1614020688464000000,20.903,20.887,AAL
1614020688682000000,20.903,20.877,AAL
1614020689198000000,20.902,20.888,AAL
1614020690055000000,20.903,20.877,AAL
1614020690105000000,20.893,20.877,AAL
1614020690708000000,317.653,317.607,GS
1614020690809000000,317.693,317.607,GS
1614020696317000000,317.803,317.677,GS
1614020696441000000,317.803,317.627,GS
1614020697153000000,317.802,317.668,GS
1614020697263000000,317.803,317.627,GS
1614020697314000000,317.803,317.617,GS
1614020702659000000,317.802,317.668,GS
1614020705904000000,317.812,317.668,GS
1614020708140000000,317.933,317.66700000000003,GS
1614020708165000000,20.882,20.868,AAL
1614020708191000000,317.793,317.66700000000003,GS
1614020708867000000,317.733,317.66700000000003,GS
1614020708917000000,317.732,317.638,GS
1614020708968000000,317.733,317.607,GS
1614020709832000000,317.802,317.608,GS
1614020709882000000,317.79200000000003,317.608,GS
1614020716097000000,317.793,317.617,GS
1614020716147000000,317.793,317.607,GS
1614020716615000000,317.733,317.607,GS
1614020717081000000,317.723,317.607,GS
1614020718268000000,317.733,317.607,GS
1614020722688000000,317.683,317.607,GS
1614020722789000000,317.72200000000004,317.608,GS
