Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-11-23,150.369995,151.399994,149.369995,150.929993,149.755035,6185700,WMT
2020-11-24,151.740005,151.979996,150.270004,151.360001,150.181702,5718400,WMT
2020-11-25,151.250000,152.389999,151.210007,151.830002,150.648041,4611100,WMT
2020-11-27,152.149994,152.720001,151.100006,151.600006,150.419846,3666500,WMT
2020-11-30,151.600006,152.949997,150.100006,152.789993,151.600571,10898500,WMT
2020-12-01,153.600006,153.660004,151.660004,152.639999,151.451736,7647100,WMT
2020-12-02,152.000000,152.619995,149.529999,150.520004,149.348251,7849000,WMT
2020-12-03,150.279999,150.279999,148.389999,149.300003,148.137741,8575300,WMT
2020-12-04,149.509995,149.509995,147.580002,148.910004,147.750778,6963100,WMT
2020-12-07,148.460007,148.990005,147.160004,148.110001,146.957016,6159700,WMT
2020-12-08,147.360001,149.850006,147.179993,149.449997,148.286575,6905500,WMT
2020-12-09,150.000000,150.000000,147.889999,148.270004,147.115768,6713200,WMT
2020-12-10,147.750000,148.149994,146.570007,147.039993,146.428619,6884100,WMT
2020-12-11,146.919998,147.509995,145.940002,147.000000,146.388794,5620300,WMT
2020-12-14,147.699997,147.720001,145.399994,145.649994,145.044403,8362700,WMT
2020-12-15,145.520004,146.360001,144.860001,145.580002,144.974701,10631500,WMT
2020-12-16,146.240005,146.889999,145.080002,145.429993,144.825317,8550300,WMT
2020-12-17,146.059998,146.440002,145.149994,146.100006,145.492538,10226500,WMT
2020-12-18,146.619995,147.179993,145.160004,145.949997,145.343155,13794700,WMT
2020-12-21,145.500000,146.669998,145.059998,145.970001,145.363083,8517700,WMT
2020-12-22,145.149994,146.229996,143.139999,144.199997,143.600433,12533000,WMT
2020-12-23,143.539993,144.220001,142.300003,143.220001,142.624512,6810200,WMT
2020-12-24,143.539993,144.389999,143.179993,143.500000,142.903351,3018200,WMT
2020-12-28,144.039993,145.300003,143.330002,145.220001,144.616196,6448300,WMT
2020-12-29,145.639999,145.850006,143.589996,144.300003,143.700027,5979400,WMT
2020-12-30,144.880005,145.149994,143.940002,144.179993,143.580521,6250400,WMT
2020-12-31,144.199997,144.270004,142.850006,144.149994,143.550644,5938000,WMT
2021-01-04,144.300003,146.889999,144.279999,146.529999,145.920746,10727400,WMT
2021-01-05,146.600006,147.070007,144.490005,145.750000,145.143997,8832700,WMT
2021-01-06,145.089996,148.100006,145.009995,146.660004,146.050217,7306300,WMT
2021-01-07,147.619995,147.759995,146.039993,146.649994,146.040253,6846000,WMT
2021-01-08,146.880005,147.000000,145.809998,146.630005,146.020340,8159400,WMT
2021-01-11,146.000000,147.990005,146.000000,147.289993,146.677582,8782400,WMT
2021-01-12,149.000000,149.929993,148.320007,148.970001,148.350601,7791100,WMT
2021-01-13,148.750000,149.070007,147.429993,147.449997,146.836929,5356500,WMT
2021-01-14,147.820007,148.000000,146.039993,146.970001,146.358917,7672400,WMT
2021-01-15,145.139999,145.899994,143.669998,144.639999,144.038605,11973500,WMT
2021-01-19,144.639999,145.070007,142.669998,143.389999,142.793808,8041200,WMT
2021-01-20,143.589996,145.660004,142.889999,145.509995,144.904984,7925200,WMT
2021-01-21,145.360001,145.729996,144.210007,144.850006,144.247742,4783300,WMT
2021-01-22,145.600006,147.339996,145.119995,146.330002,145.721588,6406500,WMT
2021-01-25,145.360001,146.250000,144.270004,146.199997,145.592117,6343700,WMT
2021-01-26,145.630005,147.809998,145.470001,147.509995,146.896667,5010500,WMT
2021-01-27,146.960007,147.860001,143.550003,143.839996,143.241928,9970100,WMT
2021-01-28,144.460007,146.259995,143.630005,143.750000,143.152313,7433900,WMT
2021-01-29,143.179993,143.750000,140.350006,140.490005,139.905869,10825900,WMT
2021-02-01,140.910004,141.490005,139.190002,139.270004,138.690948,8648400,WMT
2021-02-02,139.759995,142.149994,139.440002,140.770004,140.184708,9000800,WMT
2021-02-03,140.660004,142.050003,140.630005,141.199997,140.612915,4988900,WMT
2021-02-04,141.789993,143.179993,141.259995,142.529999,141.937378,5782100,WMT
2021-02-05,143.460007,144.850006,142.529999,144.360001,143.759781,6814700,WMT
2021-02-08,144.809998,145.580002,144.460007,145.029999,144.426987,5275100,WMT
2021-02-09,144.580002,146.320007,144.580002,145.830002,145.223663,5302300,WMT
2021-02-10,145.830002,145.899994,143.539993,144.130005,143.530731,6192300,WMT
2021-02-11,144.139999,144.949997,143.710007,144.020004,143.421188,4254800,WMT
2021-02-12,144.160004,144.610001,143.669998,144.470001,143.869324,4463300,WMT
2021-02-16,145.940002,146.389999,144.929993,145.660004,145.054367,9297000,WMT
2021-02-17,144.649994,147.500000,144.500000,147.199997,146.587967,8523700,WMT
2021-02-18,139.000000,140.699997,137.500000,137.660004,137.087631,32309100,WMT
2021-02-19,137.800003,139.419998,137.669998,138.339996,137.764801,12202000,WMT
2021-02-22,137.740005,138.339996,136.250000,137.690002,137.117508,10702200,WMT
2021-02-23,137.110001,137.389999,135.059998,135.470001,134.906738,10433400,WMT
2021-02-24,135.869995,136.160004,133.050003,133.210007,132.656143,15521900,WMT
2021-02-25,133.100006,134.009995,131.479996,131.949997,131.401367,11108200,WMT
2021-02-26,131.479996,131.809998,129.860001,129.919998,129.379807,14146800,WMT
2021-03-01,131.580002,132.570007,131.130005,131.369995,130.823776,11515100,WMT
2021-03-02,131.509995,132.750000,130.009995,130.110001,129.569031,9734900,WMT
2021-03-03,129.500000,129.929993,127.550003,127.589996,127.059494,13917900,WMT
2021-03-04,127.860001,129.580002,126.279999,127.529999,126.999748,15087400,WMT
2021-03-05,126.830002,129.750000,126.750000,129.119995,128.583130,11349800,WMT
2021-03-08,129.330002,129.839996,127.809998,127.879997,127.348289,13651600,WMT
2021-03-09,128.800003,129.880005,128.320007,128.889999,128.354095,10631100,WMT
2021-03-10,128.860001,133.050003,128.470001,132.179993,131.630417,14959700,WMT
2021-03-11,133.360001,133.490005,131.529999,132.130005,131.580627,11822600,WMT
2021-03-12,132.520004,134.520004,132.080002,134.119995,133.562347,9473500,WMT
2021-03-15,134.740005,134.750000,132.820007,133.429993,132.875214,8357300,WMT
2021-03-16,132.820007,134.279999,132.820007,133.389999,132.835388,6607200,WMT
2021-03-17,132.500000,133.139999,131.979996,132.279999,131.729996,8029900,WMT
2021-03-18,131.160004,131.949997,129.929993,130.009995,130.009995,9929600,WMT
2021-03-19,130.130005,132.500000,129.899994,131.740005,131.740005,19187600,WMT
2021-03-22,131.000000,132.449997,130.990005,132.369995,132.369995,8218000,WMT
2021-03-23,131.710007,134.300003,131.630005,133.940002,133.940002,9718300,WMT
2021-03-24,134.429993,134.429993,133.050003,133.110001,133.110001,7849100,WMT
2021-03-25,133.259995,134.529999,132.869995,134.009995,134.009995,9375300,WMT
2021-03-26,134.000000,135.199997,133.419998,135.130005,135.130005,9535000,WMT
2021-03-29,135.000000,137.009995,134.600006,136.669998,136.669998,10048800,WMT
2021-03-30,136.330002,137.589996,135.470001,135.740005,135.740005,9076700,WMT
2021-03-31,135.550003,136.860001,134.960007,135.830002,135.830002,8182000,WMT
2021-04-01,135.940002,136.889999,135.330002,135.619995,135.619995,8527200,WMT
2021-04-05,136.720001,140.160004,136.199997,139.429993,139.429993,13347700,WMT
2021-04-06,139.110001,140.949997,138.520004,140.100006,140.100006,10348200,WMT
2021-04-07,140.300003,140.750000,139.649994,139.800003,139.800003,6787200,WMT
2021-04-08,140.449997,141.119995,139.660004,139.710007,139.710007,6365200,WMT
2021-04-09,139.630005,140.089996,138.710007,139.779999,139.779999,6888300,WMT
2021-04-12,140.070007,140.380005,139.339996,139.800003,139.800003,6241000,WMT
2021-04-13,139.800003,140.000000,138.869995,139.369995,139.369995,5799300,WMT
2021-04-14,139.119995,139.460007,138.419998,139.320007,139.320007,7308200,WMT
2021-04-15,139.399994,140.470001,139.199997,140.160004,140.160004,7236800,WMT
2021-04-16,140.889999,140.960007,139.710007,140.610001,140.610001,8825500,WMT
2021-04-19,140.289993,140.570007,139.610001,139.710007,139.710007,6427000,WMT
2021-04-20,139.419998,141.770004,138.820007,140.789993,140.789993,8150700,WMT
2021-04-21,140.770004,141.699997,140.529999,141.199997,141.199997,5778400,WMT
2021-04-22,141.080002,141.449997,139.419998,139.669998,139.669998,6568400,WMT
2021-04-23,139.100006,140.339996,139.029999,139.899994,139.899994,7657000,WMT
2021-04-26,139.910004,140.000000,137.639999,137.910004,137.910004,5794535,WMT
